goodreads_book_id,authors,original_publication_year,title,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
2767052,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,155254,66715,127936,560092,1481305,2706317
3,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,75867,75504,101676,455024,1156318,3011543
41865,Stephenie Meyer,2005,"Twilight (Twilight, #1)",3.57,3866839,95009,456191,436802,793319,875073,1355439
2657,Harper Lee,1960,To Kill a Mockingbird,4.25,3198671,72586,60427,117415,446835,1001952,1714267
4671,F. Scott Fitzgerald,1925,The Great Gatsby,3.89,2683664,51992,86236,197621,606158,936012,947718
11870085,John Green,2012,The Fault in Our Stars,4.26,2346404,140739,47994,92723,327550,698471,1311871
5907,J.R.R. Tolkien,1937,The Hobbit,4.25,2071616,37653,46023,76784,288649,665635,1119718
5107,J.D. Salinger,1951,The Catcher in the Rye,3.79,2044241,44920,109383,185520,455042,661516,709176
960,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,25112,77841,145740,458429,716569,680175
1885,Jane Austen,1813,Pride and Prejudice,4.24,2035490,49152,54700,86485,284852,609755,1155673
77203,Khaled Hosseini,2003,The Kite Runner,4.26,1813044,59730,34288,59980,226062,628174,929591
13335037,Veronica Roth,2011,"Divergent (Divergent, #1)",4.24,1903563,101023,36315,82870,310297,673028,1114304
5470,"George Orwell, Erich Fromm, Celâl Üster",1949,1984,4.14,1956832,45518,41845,86425,324874,692021,908229
7613,George Orwell,1945,Animal Farm,3.87,1881700,35472,66854,135147,433432,698642,648912
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl,4.1,1972666,20825,45225,91270,355756,656870,875372
2429135,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,62543,54835,86051,285413,667485,836050
6148028,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)",4.3,1831039,88538,10492,48030,262010,687238,980309
5,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,36099,6716,20413,166129,509447,1266670
34,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,15333,38031,55862,202332,493922,1042394
7260188,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)",4.03,1719760,96274,30144,110498,373060,618271,738775
2,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,28685,9528,31577,180210,494427,1124806
12232938,Alice Sebold,2002,The Lovely Bones,3.77,1605173,36642,62777,131188,404699,583575,479323
15881,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,34172,8253,42251,242345,548266,1065084
6,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,31084,6676,20210,151785,494926,1195045
136251,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,51942,9363,22245,113646,383914,1318227
968,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,41560,71345,126493,340790,539277,479387
1,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,27520,7308,21516,136333,459028,1161491
7624,William Golding,1954,Lord of the Flies,3.64,1605019,26886,92779,160295,425648,564916,427846
18135,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,3.73,1628519,14778,57980,153179,452673,519822,489235
8442457,Gillian Flynn,2012,Gone Girl,4.03,512475,121614,38874,80807,280331,616031,610476
4667024,Kathryn Stockett,2009,The Help,4.45,1531753,78204,10235,25117,134887,490754,942552
890,John Steinbeck,1937,Of Mice and Men,3.84,1467496,24642,46630,110856,355169,532291,473795
930,Arthur Golden,1997,Memoirs of a Geisha,4.08,1300209,25605,23500,59033,258700,517157,559782
