Date Occurred,Time Occurred,Precinct,Offense
1/1/2008,0,WEST,THEFT-CARPROWL
1/1/2008,0,SOUTH,CHILD-OTHER
1/1/2008,0,UNKNOWN,SEXOFF-OTHER
1/1/2008,0,SOUTHWEST,CHILD-ABUSED-NOFORCE
1/1/2008,0,NORTH,THEFT-OTH
1/1/2008,0,SOUTH,CHILD-OTHER
1/1/2008,0,NORTH,BURGLARY-NOFORCE-RES
1/2/2008,2352,EAST,THEFT-OTH
1/2/2008,2347,SOUTHWEST,NARC-POSSESS-OTHER
1/2/2008,2328,WEST,NARC-SELL-COCAINE
1/2/2008,2307,WEST,NARC-POSSESS-COCAINE
1/2/2008,2228,SOUTHWEST,DUI-LIQUOR
1/2/2008,2200,EAST,THEFT-CARPROWL
1/2/2008,2145,NORTH,THEFT-CARPROWL
1/2/2008,2130,SOUTHWEST,THEFT-CARPROWL
1/2/2008,2100,NORTH,THEFT-CARPROWL
1/2/2008,2057,NORTH,TRESPASS
1/2/2008,2000,WEST,BURGLARY-NOFORCE-RES
1/2/2008,1900,SOUTHWEST,THEFT-CARPROWL
1/2/2008,1830,WEST,CHILD-OTHER
1/2/2008,1826,NORTH,THEFT-SHOPLIFT
1/2/2008,1800,NORTH,THEFT-CARPROWL
1/2/2008,1634,SOUTH,NARC-POSSESS-MARIJU
1/2/2008,1615,WEST,THEFT-SHOPLIFT
1/2/2008,1544,NORTH,ROBBERY-STREET-WEAPON
1/2/2008,1445,WEST,THEFT-CARPROWL
1/2/2008,1430,WEST,THEFT-CARPROWL
1/2/2008,1410,EAST,BURGLARY-NOFORCE-NONRES
1/2/2008,1351,NORTH,THEFT-BUILDING
1/2/2008,1340,SOUTH,THEFT-OTH
1/2/2008,1250,EAST,BURGLARY-NOFORCE-NONRES
1/2/2008,1230,NORTH,VEH-THEFT-AUTO
1/2/2008,1220,SOUTH,THEFT-SHOPLIFT
1/2/2008,1100,WEST,THEFT-CARPROWL
1/2/2008,1035,NORTH,NARC-POSSESS-MARIJU
1/2/2008,1000,NORTH,BURGLARY-FORCE-RES
1/2/2008,1000,WEST,THEFT-CARPROWL
1/2/2008,1000,WEST,THEFT-CARPROWL
1/2/2008,1000,NORTH,BURGLARY-FORCE-RES
1/2/2008,945,NORTH,NARC-POSSESS-COCAINE
1/2/2008,930,WEST,THEFT-BICYCLE
1/2/2008,900,EAST,BURGLARY-NOFORCE-RES
1/2/2008,835,EAST,VEH-THEFT-AUTO
1/2/2008,250,EAST,TRESPASS
1/2/2008,130,EAST,THEFT-CARPROWL
1/2/2008,100,SOUTHWEST,THEFT-CARPROWL
1/2/2008,32,SOUTH,WEAPON-CONCEALED
1/2/2008,1,NORTH,THEFT-BUILDING
1/3/2008,2335,WEST,DUI-LIQUOR
1/3/2008,2330,WEST,HOMICIDE-PREMEDITATED-GUN
1/3/2008,2330,WEST,THEFT-PKPOCKET
1/3/2008,2255,WEST,NARC-POSSESS-MARIJU
1/3/2008,2242,EAST,NARC-POSSESS-COCAINE
1/3/2008,2200,NORTH,THEFT-OTH
1/3/2008,2200,EAST,BURGLARY-FORCE-RES
1/3/2008,2134,WEST,TRESPASS
1/3/2008,2108,EAST,VEH-THEFT-AUTO
1/3/2008,2028,NORTH,THEFT-SHOPLIFT
1/3/2008,2018,EAST,THEFT-AUTOACC
1/3/2008,2000,NORTH,BURGLARY-FORCE-RES
1/3/2008,2000,EAST,BURGLARY-FORCE-RES
1/3/2008,2000,NORTH,THEFT-CARPROWL
1/3/2008,1935,NORTH,BURGLARY-FORCE-NONRES
1/3/2008,1900,EAST,WEAPON-POSSESSION
1/3/2008,1900,NORTH,BURGLARY-FORCE-NONRES
1/3/2008,1858,WEST,THEFT-SHOPLIFT
1/3/2008,1845,EAST,VEH-THEFT-AUTO
1/3/2008,1830,NORTH,BURGLARY-FORCE-RES
1/3/2008,1800,WEST,THEFT-CARPROWL
1/3/2008,1800,NORTH,THEFT-CARPROWL
1/3/2008,1745,EAST,THEFT-CARPROWL
1/3/2008,1730,WEST,THEFT-PRSNATCH
1/3/2008,1715,WEST,THEFT-CARPROWL
1/3/2008,1700,SOUTHWEST,THEFT-AUTOACC
1/3/2008,1655,WEST,ROBBERY-STREET-BODYFORCE
1/3/2008,1627,NORTH,BURGLARY-NOFORCE-RES
1/3/2008,1600,SOUTHWEST,BURGLARY-NOFORCE-RES
1/3/2008,1600,WEST,THEFT-AUTOACC
1/3/2008,1545,WEST,NARC-SELL-HEROIN
1/3/2008,1530,UNKNOWN,THEFT-OTH
1/3/2008,1500,SOUTH,BURGLARY-NOFORCE-RES
1/3/2008,1250,SOUTH,THEFT-BUILDING
1/3/2008,1241,SOUTH,THEFT-CARPROWL
1/3/2008,1100,SOUTH,BURGLARY-FORCE-RES
1/3/2008,1018,NORTH,NARC-POSSESS-COCAINE
1/3/2008,930,WEST,THEFT-AUTOACC
1/3/2008,900,SOUTH,BURGLARY-FORCE-RES
1/3/2008,735,SOUTH,THEFT-SHOPLIFT
1/3/2008,645,WEST,THEFT-CARPROWL
1/3/2008,600,SOUTH,BURGLARY-FORCE-RES
1/3/2008,507,SOUTHWEST,BURGLARY-FORCE-NONRES
1/3/2008,425,WEST,RAPE-OTHER
1/3/2008,230,NORTH,BURGLARY-FORCE-RES
1/3/2008,150,EAST,THEFT-OTH
1/3/2008,136,WEST,NARC-POSSESS-COCAINE
1/3/2008,20,SOUTHWEST,VEH-THEFT-TRUCK
1/3/2008,1,SOUTH,VEH-THEFT-AUTO
1/3/2008,0,EAST,WEAPON-POSSESSION
